Familias,Pieza,Ancho,Alto,Material,Color,Apertura,Vista,Abre,Mano,Mallorquina,Cierres,Otro
correderas,ancho,números,números,pvc,blanco,vista,dentro,interior,izquierda,lama móvil,cremona,texto
practicables,alto,,,aluminio,madera,abre,fuera,exterior,derecha,lama fija,interior/exterior,
puertas,material,,,,anonizado,mano,,,,travesaño,pestillo,
puertas apertura exterior,color,,,,ral,,,,,cruceta,presión,
elevadoras,apertura,,,,,,,,,,otro,
persianas,mallorquina,,,,,,,,,,,
,cierres,,,,,,,,,,,
Correderas,cerradura,,,,,,,,,,,
pieza,marco interior,,,,,,,,,,,
,huella,,,,,,,,,,,
Practicables,accionamiento,,,,,,,,,,,
pieza,tapajuntas,,,,,,,,,,,
,forro,,,,,,,,,,,
Puertas,cristal,,,,,,,,,,,
pieza,instalación,,,,,,,,,,,
,remates albañilería,,,,,,,,,,,
Puertas apertura exterior,añadir fotos,,,,,,,,,,,
pieza,,,,,,,,,,,,
,,,,,,,,,,,,
Elevadoras,,,,,,,,,,,,
pieza,,,,,,,,,,,,
,,,,,,,,,,,,
Persianas,,,,,,,,,,,,
pieza,,,,,,,,,,,,
